Path,QAID,Objective,Priority,Bug,Result,Build,Mark,Tester,Autotested,Platform,BIOS,Comment
/FortiProxy/7.4.0/Sanity/Policy-Matching/Explicit-L7/fastmatch/,,Verify HTTP/HTTPS Matching the explicit polocy (deep inspection and accept) with category address,Critical,,Untested,,,Leonardo Chen,No,,,
/FortiProxy/7.4.0/Sanity/Policy-Matching/Explicit-L7/fastmatch/,,Verify HTTP/HTTPS Matching the explicit polocy (CERTIFICATE inspection and ACCEPT) with category address,Critical,,Untested,,,Leonardo Chen,No,,,
/FortiProxy/7.4.0/Sanity/Policy-Matching/Explicit-L7/fastmatch/,,Verify HTTP/HTTPS Matching the explicit polocy (SSL-exempt and ACCEPT) with category address,Critical,,Untested,,,Leonardo Chen,No,,,
/FortiProxy/7.4.0/Sanity/Policy-Matching/Explicit-L7/fastmatch/,,Verify HTTP/HTTPS Matching the explicit polocy (deep inspection and deny) with category address,Critical,,Untested,,,Leonardo Chen,No,,,
/FortiProxy/7.4.0/Sanity/Policy-Matching/Explicit-L7/fastmatch/,,Verify HTTP/HTTPS Matching the explicit polocy (CERTIFICATE inspection and DENY) with category address,Critical,,Untested,,,Leonardo Chen,No,,,
/FortiProxy/7.4.0/Sanity/Policy-Matching/Explicit-L7/fastmatch/,,Verify HTTP/HTTPS Matching the explicit polocy (SSL-EXEMPT and DENY) with category address,Critical,,Untested,,,Leonardo Chen,No,,,
/FortiProxy/7.4.0/Sanity/Policy-Matching/Explicit-L7/fastmatch/,,Verify HTTP/HTTPS Matching the explicit polocy (deep inspection and ISOLATE) with category address,Critical,,Untested,,,Leonardo Chen,No,,,
/FortiProxy/7.4.0/Sanity/Policy-Matching/Explicit-L7/fastmatch/,,Verify HTTP/HTTPS Matching the explicit polocy (CERT inspection and ISOLATE) with category address,Critical,,Untested,,,Leonardo Chen,No,,,
/FortiProxy/7.4.0/Sanity/Policy-Matching/Explicit-L7/fastmatch/,,Verify HTTP/HTTPS Matching the explicit polocy (SSL EXEMPT and ISOLATE) with category address,Critical,,Untested,,,Leonardo Chen,No,,,
/FortiProxy/7.4.0/Sanity/Policy-Matching/Explicit-L7/fastmatch/,,Verify HTTP/HTTPS Matching the explicit polocy (session-auth + deep inspection and accept) with category address,Critical,,Untested,,,Leonardo Chen,No,,,
/FortiProxy/7.4.0/Sanity/Policy-Matching/Explicit-L7/fastmatch/,,Verify HTTP/HTTPS Matching the explicit polocy (session-auth + cert inspection and accept) with category address,Critical,,Untested,,,Leonardo Chen,No,,,
/FortiProxy/7.4.0/Sanity/Policy-Matching/Explicit-L7/fastmatch/,,Verify HTTP/HTTPS Matching the explicit polocy (session-auth + ssl-exempt and accept) with category address,Critical,,Untested,,,Leonardo Chen,No,,,
/FortiProxy/7.4.0/Sanity/Policy-Matching/Explicit-L7/fastmatch/,,Verify HTTP/HTTPS Matching the explicit polocy (deep inspection and accept) with dst and source address,Critical,,Untested,,,Leonardo Chen,No,,,
/FortiProxy/7.4.0/Sanity/Policy-Matching/TP-L7/fastmatch/,1059177,Verify HTTP/HTTPS Matching the TP polocy (deep inspection and accept) with category address,Critical,,Untested,,,Leonardo Chen,No,,,
/FortiProxy/7.4.0/Sanity/Policy-Matching/TP-L7/fastmatch/,1059178,Verify HTTP/HTTPS Matching the TP polocy (CERTIFICATE inspection and ACCEPT) with category address,Critical,,Untested,,,Leonardo Chen,No,,,
/FortiProxy/7.4.0/Sanity/Policy-Matching/TP-L7/fastmatch/,1059179,Verify HTTP/HTTPS Matching the TP polocy (SSL-exempt and ACCEPT) with category address,Critical,,Untested,,,Leonardo Chen,No,,,
/FortiProxy/7.4.0/Sanity/Policy-Matching/TP-L7/fastmatch/,1059180,Verify HTTP/HTTPS Matching the TP polocy (deep inspection and deny) with category address,Critical,,Untested,,,Leonardo Chen,No,,,
/FortiProxy/7.4.0/Sanity/Policy-Matching/TP-L7/fastmatch/,1059181,Verify HTTP/HTTPS Matching the TP polocy (CERTIFICATE inspection and DENY) with category address,Critical,,Untested,,,Leonardo Chen,No,,,
/FortiProxy/7.4.0/Sanity/Policy-Matching/TP-L7/fastmatch/,1059182,Verify HTTP/HTTPS Matching the TP polocy (SSL-EXEMPT and DENY) with category address,Critical,,Untested,,,Leonardo Chen,No,,,
/FortiProxy/7.4.0/Sanity/Policy-Matching/TP-L7/fastmatch/,1059183,Verify HTTP/HTTPS Matching the TP polocy (deep inspection and ISOLATE) with category address,Critical,,Untested,,,Leonardo Chen,No,,,
/FortiProxy/7.4.0/Sanity/Policy-Matching/TP-L7/fastmatch/,1059184,Verify HTTP/HTTPS Matching the TP polocy (CERT inspection and ISOLATE) with category address,Critical,,Untested,,,Leonardo Chen,No,,,
/FortiProxy/7.4.0/Sanity/Policy-Matching/TP-L7/fastmatch/,1059185,Verify HTTP/HTTPS Matching the TP polocy (SSL EXEMPT and ISOLATE) with category address,Critical,,Untested,,,Leonardo Chen,No,,,
