Path,QAID,Objective,Priority,Bug,Result,Build,Mark,Tester,Autotested,Platform,BIOS,Comment
/FortiProxy/7.2.7/Sanity/Policy-Matching/Explicit-ext-list,1,Verify Matching the explicit polocy (deep inspection and accept) with external url list address,Critical,,Untested,,,Leonardo Chen,No,,,
/FortiProxy/7.2.7/Sanity/Policy-Matching/Explicit-ext-list,2,Verify Matching explicit polocy (cert inspection and accept) with external url list address,Critical,,Untested,,,Leonardo Chen,No,,,
/FortiProxy/7.2.7/Sanity/Policy-Matching/Explicit-ext-list,3,Verify Matching explicit polocy (SSL-exempt and ACCEPT) with external url list address,Critical,,Untested,,,Leonardo Chen,No,,,
/FortiProxy/7.2.7/Sanity/Policy-Matching/Explicit-ext-list,4,Verify Matching the explicit polocy (deep inspection and deny) with external url list address,Critical,,Untested,,,Leonardo Chen,No,,,
/FortiProxy/7.2.7/Sanity/Policy-Matching/Explicit-ext-list,5,Verify HTTP/HTTPS Matching the explicit polocy (CERTIFICATE inspection and DENY) with category address,Critical,,Untested,,,Leonardo Chen,No,,,
/FortiProxy/7.2.7/Sanity/Policy-Matching/Explicit-ext-list,6,Verify HTTP/HTTPS Matching the explicit polocy (ssl-exempt and DENY) with category address,Critical,,Untested,,,Leonardo Chen,No,,,
/FortiProxy/7.2.7/Sanity/Policy-Matching/Explicit-ext-list,7,Verify Matching the explicit polocy (deep inspection and isolate) with external url list address -924644,Critical,,Untested,,,Leonardo Chen,No,,,
/FortiProxy/7.2.7/Sanity/Policy-Matching/Explicit-ext-list,8,Verify HTTP/HTTPS Matching the explicit polocy (CERTIFICATE inspection and isolate) with category address -924644,Critical,,Untested,,,Leonardo Chen,No,,,
/FortiProxy/7.2.7/Sanity/Policy-Matching/Explicit-ext-list,9,Verify HTTP/HTTPS Matching the explicit polocy (ssl-exempt and isolate) with category address -924644,Critical,,Untested,,,Leonardo Chen,No,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
/FortiProxy/7.2.7/Sanity/Policy-Matching/TP-ext-list,,,Critical,,Untested,,,Leonardo Chen,No,,,
