Path,QAID,Objective,Priority,Bug,Result,Build,Mark,Tester,Autotested,Platform,BIOS,Comment
/FortiProxy/7.0.0/Sanity/TP-Proxy/Basic/,1002833,Verify HTTP/HTTPS walks thru TP policy without utm,Critical,n/a,NotRun,,,Leonardo Chen,Yes,FPX_VMWARE,,
/FortiProxy/7.0.0/Regression/Tp-policy/01-Basic/,100001,Verify the HTTP Traffic could be forward correctly when physical incoming port  is same  physical outgoing port,High,,NotRun,,,Leonardo Chen,No,FPX_VMWARE,,
/FortiProxy/2.0.0/Regression/Tp-policy/02-Basic/,100002,Verify HTTP GET request is still proxied successfully after modify some web-proxy configuration,Critical,,NotRun,,,Leonardo Chen,No,FPX_VMWARE,,
/FortiProxy/2.0.0/Regression/Web-Proxy/02-Basic/,100003,"Verify the command ""diag wad xx"" is still working",High,,NotRun,,,Leonardo Chen,Yes,FPX_VMWARE,,
/FortiProxy/2.0.0/Regression/Web-Proxy/02-Basic/,100004,Verify HTTPS GET request is proxied,Critical,,NotRun,,,Leonardo Chen,Yes,FPX_VMWARE,,
/FortiProxy/2.0.0/Regression/Web-Proxy/02-Basic/,100005,Verify HTTP POST request is proxied,Critical,,NotRun,,,Leonardo Chen,Yes,FPX_VMWARE,,
/FortiProxy/2.0.0/Regression/Web-Proxy/02-Basic/,100006,Verify HEAD/OPTIONS/PUT/TRACE request is forwarded,High,,NotRun,,,Leonardo Chen,Yes,FPX_VMWARE,,
/FortiProxy/2.0.0/Regression/Web-Proxy/02-Basic/,100007,Verify the  standard  Headers could be added if action is set add in WebProxy Profile,Critical,,NotRun,,,Leonardo Chen,Yes,FPX_VMWARE,,
/FortiProxy/2.0.0/Regression/Web-Proxy/02-Basic/,100008,Verify a customized  Headers could be add in WebProxy Profile,Critical,,NotRun,,,Leonardo Chen,Yes,FPX_VMWARE,,
/FortiProxy/2.0.0/Regression/Web-Proxy/02-Basic/,100009,Verify FTP is proxied,Critical,,NotRun,,,Leonardo Chen,Yes,FPX_VMWARE,,
/FortiProxy/2.0.0/Regression/Web-Proxy/02-Basic/,100010,Verify http client could access a ftp server with specific account throught ftp over http,Critical,,NotRun,,,Leonardo Chen,Yes,FPX_VMWARE,,
/FortiProxy/2.0.0/Regression/Web-Proxy/02-Basic/,100011,Verify basic SOCKS v4 proxy features works,High,,NotRun,,,Leonardo Chen,Yes,FPX_VMWARE,,
/FortiProxy/2.0.0/Regression/Web-Proxy/02-Basic/,100012,Verify basic SOCKS v5 proxy features works,Critical,,NotRun,,,Leonardo Chen,Yes,FPX_VMWARE,,
/FortiProxy/2.0.0/Regression/Web-Proxy/02-Basic/,100013,"Verify the ""sec-default-action accept"" works when no any web-proxy policy is configured",High,,NotRun,,,Leonardo Chen,Yes,FPX_VMWARE,,
/FortiProxy/2.0.0/Regression/Web-Proxy/02-Basic/,100014,Verify the different address type(FQDN/GeoIP/Subnet/IP Range) could be supported by the webproxy_policy,High,,NotRun,,,Leonardo Chen,Yes,FPX_VMWARE,,
/FortiProxy/2.0.0/Regression/Web-Proxy/03-Firewall/,100015,Verify FPX does not response to client if explicit-web-proxy option is not enabled on interface,High,,NotRun,,,Leonardo Chen,Yes,FPX_VMWARE,,
/FortiProxy/2.0.0/Regression/Web-Proxy/03-Firewall/,100016,Verify FPX returns 403 Forbidden if web-proxy firewall policy is not created,High,,NotRun,,,Leonardo Chen,Yes,FPX_VMWARE,,
/FortiProxy/2.0.0/Regression/Web-Proxy/03-Firewall/,100017,Verify FPX returns 504 Gateway Timeout if request Domain name cannot be resolved.,High,,NotRun,,,Leonardo Chen,Yes,FPX_VMWARE,,
/FortiProxy/2.0.0/Regression/Web-Proxy/03-Firewall/,100018,Verify FPX returns 504 Gateway Timeout if FPX can not communicate with the request server,High,,NotRun,,,Leonardo Chen,Yes,FPX_VMWARE,,
/FortiProxy/2.0.0/Regression/Web-Proxy/03-Firewall/,100019,Verify FPX returns 403 Forbidden if request source address does not match policy,High,,NotRun,,,Leonardo Chen,Yes,FPX_VMWARE,,
/FortiProxy/2.0.0/Regression/Web-Proxy/03-Firewall/,100020,Verify FPX returns 403 Forbidden if request destination address does not match policy,High,,NotRun,,,Leonardo Chen,Yes,FPX_VMWARE,,
/FortiProxy/2.0.0/Regression/Web-Proxy/03-Firewall/,100021,Verify WebProxy policy works with addess group.,Critical,,NotRun,,,Leonardo Chen,Yes,FPX_VMWARE,,
/FortiProxy/2.0.0/Regression/Web-Proxy/03-Firewall/,100022,"Verify WebProxy policy could match corresponding ""static router"" to forward http traffic",High,,NotRun,,,Leonardo Chen,Yes,FPX_VMWARE,,
/FortiProxy/2.0.0/Regression/Web-Proxy/03-Firewall/,100023,Verify WebProxy policy works with multi destination interfaces,High,,NotRun,,,Leonardo Chen,Yes,FPX_VMWARE,,
/FortiProxy/2.0.0/Regression/Web-Proxy/03-Firewall/,100024,Verify FPX returns 403 Forbidden if policy action is DENY,High,,NotRun,,,Leonardo Chen,Yes,FPX_VMWARE,,
/FortiProxy/2.0.0/Regression/Web-Proxy/03-Firewall/,100025,Verify FPX can restrict HTTP service based on protocol and port,High,,NotRun,,,Leonardo Chen,Yes,FPX_VMWARE,,
/FortiProxy/2.0.0/Regression/Web-Proxy/03-Firewall/,100026,Verify FPX can restrict FTP service based on protocol and port,High,,NotRun,,,Leonardo Chen,Yes,FPX_VMWARE,,
/FortiProxy/2.0.0/Regression/Web-Proxy/03-Firewall/,100027,"Verify the ""oversize-limit"" in ""protocol-option"" works well",High,,NotRun,,,Leonardo Chen,Yes,FPX_VMWARE,,
/FortiProxy/2.0.0/Regression/Web-Proxy/03-Firewall/,100028,"Verify HTTP traffic match the same policy based on specific address, interface, service when enable and disable fast-match feature",Critical,,NotRun,,,Leonardo Chen,Yes,FPX_VMWARE,,
/FortiProxy/2.0.0/Regression/Web-Proxy/03-Firewall/,100029,"Verify HTTP traffic match the same policy based on proxy-address, wildcard-fqdn address when enable and disable fast-match feature",High,,NotRun,,,Leonardo Chen,Yes,FPX_VMWARE,,
/FortiProxy/2.0.0/Regression/Web-Proxy/03-Firewall/,100030,"multiple web-proxy entities could be created and matched properly in explicit-web-proxy policy, based on incoming ip, port and interface",Critical,,NotRun,,,Leonardo Chen,Yes,FPX_VMWARE,,
/FortiProxy/2.0.0/Regression/Web-Proxy/03-Firewall/,100031,"multiple web-proxy entities could be created and matched properly in explicit-web-proxy policy, based on incoming ip, port and interface",Critical,,NotRun,,,Leonardo Chen,Yes,FPX_VMWARE,,
/FortiProxy/2.0.0/Regression/Web-Proxy/04-Auth/01 Basic_auth/,100032,Verify Basic Auth Method works via session based identity based firewall policy while using firewall local usergroup,Critical,,NotRun,,,Leonardo Chen,Yes,FPX_VMWARE,,
/FortiProxy/2.0.0/Regression/Web-Proxy/04-Auth/01 Basic_auth/,100033,Verify Basic Auth Method works  via session based identity based firewall policy while using LDAP authentication service,Critical,,NotRun,,,Leonardo Chen,Yes,FPX_VMWARE,,
/FortiProxy/2.0.0/Regression/Web-Proxy/04-Auth/01 Basic_auth/,100034,"Verify Basic Auth Method works for Both of ""Local User"" and ""Group"" in IBP",High,,NotRun,,,Leonardo Chen,Yes,FPX_VMWARE,,
/FortiProxy/2.0.0/Regression/Web-Proxy/04-Auth/01 Basic_auth/,100035,Verify Basic Auth Method works via IP based identity based firewall policy while using firewall local usergroup,Critical,,NotRun,,,Leonardo Chen,Yes,FPX_VMWARE,,
/FortiProxy/2.0.0/Regression/Web-Proxy/04-Auth/01 Basic_auth/,100036,Verify Basic Auth Method worksvia IP based identity based firewall policy while using LDAP authentication service,High,,NotRun,,,Leonardo Chen,Yes,FPX_VMWARE,,
/FortiProxy/2.0.0/Regression/Web-Proxy/04-Auth/03 Digest_auth/,100037,Verify Digest Auth Method works for IE and Firefox via session based identity based firewall policy while using firewall local usergroup,Critical,,NotRun,,,Leonardo Chen,Yes,FPX_VMWARE,,
/FortiProxy/2.0.0/Regression/Web-Proxy/04-Auth/03 Digest_auth/,100038,Verify Digest Auth Method works for IE and Firefox via IP based identity based firewall policy while using firewall local usergroup,High,,NotRun,,,Leonardo Chen,Yes,FPX_VMWARE,,
/FortiProxy/2.0.0/Regression/Web-Proxy/04-Auth/05 Negotiate/,100039,Verify Kerberos Method works with ip-based identity based firewall policy,High,,NotRun,,,Leonardo Chen,Yes,FPX_VMWARE,,
