Path,QAID,Objective,Priority,Bug,Result,Build,Mark,Tester,Autotested,Platform,BIOS,Comment
/FortiProxy/7.4/Sanity/Policy-Matching/Explicit-ext-list,,Verify Matching the explicit policy (deep inspection and accept) with external url list address,Critical,,Untested,,,Leonardo Chen,No,,,
/FortiProxy/7.4/Sanity/Policy-Matching/Explicit-ext-list,,Verify Matching explicit policy (cert inspection and accept) with external url list address,Critical,,Untested,,,Leonardo Chen,No,,,
/FortiProxy/7.4/Sanity/Policy-Matching/Explicit-ext-list,,Verify Matching explicit policy (SSL-exempt and ACCEPT) with external url list address,Critical,,Untested,,,Leonardo Chen,No,,,
/FortiProxy/7.4/Sanity/Policy-Matching/Explicit-ext-list,,Verify Matching the explicit policy (deep inspection and deny) with external url list address,Critical,,Untested,,,Leonardo Chen,No,,,
/FortiProxy/7.4/Sanity/Policy-Matching/Explicit-ext-list,,Verify HTTP/HTTPS Matching the explicit policy (CERTIFICATE inspection and DENY) with category address,Critical,,Untested,,,Leonardo Chen,No,,,
/FortiProxy/7.4/Sanity/Policy-Matching/Explicit-ext-list,,Verify HTTP/HTTPS Matching the explicit policy (ssl-exempt and DENY) with category address,Critical,,Untested,,,Leonardo Chen,No,,,
/FortiProxy/7.4/Sanity/Policy-Matching/Explicit-ext-list,,Verify Matching the explicit policy (deep inspection and isolate) with external url list address -924644,Critical,,Untested,,,Leonardo Chen,No,,,
/FortiProxy/7.4/Sanity/Policy-Matching/Explicit-ext-list,,Verify HTTP/HTTPS Matching the explicit policy (CERTIFICATE inspection and isolate) with category address -924644,Critical,,Untested,,,Leonardo Chen,No,,,
/FortiProxy/7.4/Sanity/Policy-Matching/Explicit-ext-list,,Verify HTTP/HTTPS Matching the explicit policy (ssl-exempt and isolate) with category address -924644,Critical,,Untested,,,Leonardo Chen,No,,,
,,,,,,,,,,,,
/FortiProxy/7.4/Sanity/Policy-Matching/Explicit-L7/fastmatch/,,Verify HTTP/HTTPS Matching the explicit policy (deep inspection and accept) with category address,Critical,,Untested,,,Leonardo Chen,No,,,
/FortiProxy/7.4/Sanity/Policy-Matching/Explicit-L7/fastmatch/,,Verify HTTP/HTTPS Matching the explicit policy (CERTIFICATE inspection and ACCEPT) with category address,Critical,,Untested,,,Leonardo Chen,No,,,
/FortiProxy/7.4/Sanity/Policy-Matching/Explicit-L7/fastmatch/,,Verify HTTP/HTTPS Matching the explicit policy (SSL-exempt and ACCEPT) with category address,Critical,,Untested,,,Leonardo Chen,No,,,
/FortiProxy/7.4/Sanity/Policy-Matching/Explicit-L7/fastmatch/,,Verify HTTP/HTTPS Matching the explicit policy (deep inspection and deny) with category address,Critical,,Untested,,,Leonardo Chen,No,,,
/FortiProxy/7.4/Sanity/Policy-Matching/Explicit-L7/fastmatch/,,Verify HTTP/HTTPS Matching the explicit policy (CERTIFICATE inspection and DENY) with category address,Critical,,Untested,,,Leonardo Chen,No,,,
/FortiProxy/7.4/Sanity/Policy-Matching/Explicit-L7/fastmatch/,,Verify HTTP/HTTPS Matching the explicit policy (SSL-EXEMPT and DENY) with category address,Critical,,Untested,,,Leonardo Chen,No,,,
/FortiProxy/7.4/Sanity/Policy-Matching/Explicit-L7/fastmatch/,,Verify HTTP/HTTPS Matching the explicit policy (deep inspection and ISOLATE) with category address,Critical,,Untested,,,Leonardo Chen,No,,,
/FortiProxy/7.4/Sanity/Policy-Matching/Explicit-L7/fastmatch/,,Verify HTTP/HTTPS Matching the explicit policy (CERT inspection and ISOLATE) with category address,Critical,,Untested,,,Leonardo Chen,No,,,
/FortiProxy/7.4/Sanity/Policy-Matching/Explicit-L7/fastmatch/,,Verify HTTP/HTTPS Matching the explicit policy (SSL EXEMPT and ISOLATE) with category address,Critical,,Untested,,,Leonardo Chen,No,,,
/FortiProxy/7.4/Sanity/Policy-Matching/Explicit-L7/fastmatch/,,Verify HTTP/HTTPS Matching the explicit policy (session-auth + deep inspection and accept) with category address,Critical,,Untested,,,Leonardo Chen,No,,,
/FortiProxy/7.4/Sanity/Policy-Matching/Explicit-L7/fastmatch/,,Verify HTTP/HTTPS Matching the explicit policy (session-auth + cert inspection and accept) with category address,Critical,,Untested,,,Leonardo Chen,No,,,
/FortiProxy/7.4/Sanity/Policy-Matching/Explicit-L7/fastmatch/,,Verify HTTP/HTTPS Matching the explicit policy (session-auth + ssl-exempt and accept) with category address,Critical,,Untested,,,Leonardo Chen,No,,,
/FortiProxy/7.4/Sanity/Policy-Matching/Explicit-L7/fastmatch/,,Verify HTTP/HTTPS Matching the explicit policy (deep inspection and accept) with dst and source address,Critical,,Untested,,,Leonardo Chen,No,,,
/FortiProxy/7.4/Sanity/Policy-Matching/Explicit-L7/non-fastmatch/,,Verify HTTP/HTTPS Matching the explicit policy (deep inspection and accept) with category address,Critical,,Untested,,,Leonardo Chen,No,,,
/FortiProxy/7.4/Sanity/Policy-Matching/Explicit-L7/non-fastmatch/,,Verify HTTP/HTTPS Matching the explicit policy (CERTIFICATE inspection and ACCEPT) with category address,Critical,,Untested,,,Leonardo Chen,No,,,
/FortiProxy/7.4/Sanity/Policy-Matching/Explicit-L7/non-fastmatch/,,Verify HTTP/HTTPS Matching the explicit policy (SSL-exempt and ACCEPT) with category address,Critical,,Untested,,,Leonardo Chen,No,,,
/FortiProxy/7.4/Sanity/Policy-Matching/Explicit-L7/non-fastmatch/,,Verify HTTP/HTTPS Matching the explicit policy (deep inspection and deny) with category address,Critical,,Untested,,,Leonardo Chen,No,,,
/FortiProxy/7.4/Sanity/Policy-Matching/Explicit-L7/non-fastmatch/,,Verify HTTP/HTTPS Matching the explicit policy (CERTIFICATE inspection and DENY) with category address,Critical,,Untested,,,Leonardo Chen,No,,,
/FortiProxy/7.4/Sanity/Policy-Matching/Explicit-L7/non-fastmatch/,,Verify HTTP/HTTPS Matching the explicit policy (SSL-EXEMPT and DENY) with category address,Critical,,Untested,,,Leonardo Chen,No,,,
/FortiProxy/7.4/Sanity/Policy-Matching/Explicit-L7/non-fastmatch/,,Verify HTTP/HTTPS Matching the explicit policy (deep inspection and ISOLATE) with category address,Critical,,Untested,,,Leonardo Chen,No,,,
/FortiProxy/7.4/Sanity/Policy-Matching/Explicit-L7/non-fastmatch/,,Verify HTTP/HTTPS Matching the explicit policy (CERT inspection and ISOLATE) with category address,Critical,,Untested,,,Leonardo Chen,No,,,
/FortiProxy/7.4/Sanity/Policy-Matching/Explicit-L7/non-fastmatch/,,Verify HTTP/HTTPS Matching the explicit policy (SSL EXEMPT and ISOLATE) with category address,Critical,,Untested,,,Leonardo Chen,No,,,
/FortiProxy/7.4/Sanity/Policy-Matching/Explicit-L7/non-fastmatch/,,Verify HTTP/HTTPS Matching the explicit policy (session-auth + deep inspection and accept) with category address,Critical,,Untested,,,Leonardo Chen,No,,,
/FortiProxy/7.4/Sanity/Policy-Matching/Explicit-L7/non-fastmatch/,,Verify HTTP/HTTPS Matching the explicit policy (session-auth + cert inspection and accept) with category address,Critical,,Untested,,,Leonardo Chen,No,,,
/FortiProxy/7.4/Sanity/Policy-Matching/Explicit-L7/non-fastmatch/,,Verify HTTP/HTTPS Matching the explicit policy (session-auth + ssl-exempt and accept) with category address,Critical,,Untested,,,Leonardo Chen,No,,,
/FortiProxy/7.4/Sanity/Policy-Matching/Explicit-L7/non-fastmatch/,,Verify HTTP/HTTPS Matching the explicit policy (deep inspection and accept) with dst and source address,Critical,,Untested,,,Leonardo Chen,No,,,
/FortiProxy/7.4/Sanity/Policy-Matching/TP-L7/fastmatch/,,Verify HTTP/HTTPS Matching the TP policy (deep inspection and accept) with category address,Critical,,Untested,,,Leonardo Chen,No,,,
