Path,QAID,Objective,Priority,Bug,Result,Build,Mark,Tester,Autotested,Platform,BIOS,Comment
/FortiProxy/7.4.0/Sanity/Bridge-mode/Policy-Matching/Explicit-Web/accept_fastmatch/,,Verify http matching subnet dstaddr + single interface – ACCEPT,Critical,,Untested,,,Leonardo Chen,No,,,
,,Verify http matching fqdn dstaddr + single interface – ACCEPT,,,,,,,,,,
,,Verify http matching wildcard-fqdn dstaddr + single interface – ACCEPT,,,,,,,,,,
,,Verify http matching subnet srcaddr + single interface – ACCEPT,,,,,,,,,,
,,Verify http matching fqdn srcaddr + single interface – ACCEPT,,,,,,,,,,
,,Verify http matching fqdn dstaddr 2nd policy + single interface  – ACCEPT,,,,,,,,,,
,,Verify socks proxy – ACCEPT,,,,,,,,,,
,,Verify FOH – ACCEPT,,,,,,,,,,
,,Verify SSHoverHTTP – ACCEPT,,,,,,,,,,
,,Verify http matching multi srcintf – ACCEPT,,,,,,,,,,
,,Verify http matching multi dstintf – ACCEPT,,,,,,,,,,
,,Verify http matching with expired schedule – ACCEPT,,,,,,,,,,
,,Verify http matching 2nd with expired schedule – ACCEPT,,,,,,,,,,
,,Verify policy Matching with sepcific serivces – ACCEPT,,,,,,,,,,
,,Verify policy Matching 2nd with sepcific serivces – ACCEPT,,,,,,,,,,
,,Verify policy Matching the TP-polocy with address group + bypass NAT  – ACCEPT,,,,,,,,,,
,,Verify policy Matching the TP-polocy with sevice-negate + bypass NAT  – ACCEPT,,,,,,,,,,
,,Verify policy Matching the TP-polocy with address-negate + bypass NAT  – ACCEPT,,,,,,,,,,
,,Verify HTTP policy Matching the TP-polocy with basic auth + bypass NAT  – ACCEPT,,,,,,,,,,
,,Verify non-http policy Matching the TP-polocy with basic auth + bypass NAT  – ACCEPT,,,,,,,,,,
,,Verify policy Matching the TP-polocy with address-negate + bypass NAT  – ACCEPT,,,,,,,,,,
,,,,,,,,,,,,
/FortiProxy/7.4.0/Sanity/Bridge-mode/Policy-Matching/TP-Basic/dnat/,,Verify policy Matching the TP-polocy with VIP @kernel - ACCEPT,Critical,,Untested,,,Leonardo Chen,No,,,
/FortiProxy/7.4.0/Sanity/Bridge-mode/Policy-Matching/TP-Basic/dnat/,,Verify policy Matching the TP-polocy with VIP @kernel - DENY,Critical,,Untested,,,Leonardo Chen,No,,,
/FortiProxy/7.4.0/Sanity/Bridge-mode/Policy-Matching/TP-Basic/dnat/,,Verify policy Matching the TP-polocy with VIP @kernel - REDIRECT,Critical,,Untested,,,Leonardo Chen,No,,,
/FortiProxy/7.4.0/Sanity/Bridge-mode/Policy-Matching/TP-Basic/dnat/,,Verify policy Matching the TP-polocy with VIP @kernel - ISOLATE,Critical,,Untested,,,Leonardo Chen,No,,,
/FortiProxy/7.4.0/Sanity/Bridge-mode/Policy-Matching/TP-Basic/dnat/,,Verify policy Matching the TP-polocy with VIP @kernel + wad - ACCEPT,Critical,,Untested,,,Leonardo Chen,No,,,
/FortiProxy/7.4.0/Sanity/Bridge-mode/Policy-Matching/TP-Basic/dnat/,,Verify policy Matching the TP-polocy with VIP @kernel + wad - DENY,Critical,,Untested,,,Leonardo Chen,No,,,
/FortiProxy/7.4.0/Sanity/Bridge-mode/Policy-Matching/TP-Basic/dnat/,,Verify policy Matching the TP-polocy with VIP @kernel + wad – REDIRECT,Critical,,Untested,,,Leonardo Chen,No,,,
/FortiProxy/7.4.0/Sanity/Bridge-mode/Policy-Matching/TP-Basic/dnat/,,Verify policy Matching the TP-polocy with VIP @kernel + wad - ISOLATE,Critical,,Untested,,,Leonardo Chen,No,,,
