Path,QAID,Objective,Priority,Bug,Result,Build,Mark,Tester,Autotested,Platform,BIOS,Comment
/FortiProxy/7.2.0/Sanity/Policy-Matching/Explicit-L7/fastmatch/,10001,Verify HTTP/HTTPS Matching the explicit polocy (deep inspection and accept) with category address,Critical,n/a,NotRun,,,Leonardo Chen,Yes,FPX_VMWARE,,
/FortiProxy/7.2.0/Sanity/Policy-Matching/Explicit-L7/fastmatch/,10002,Verify HTTP/HTTPS Matching the explicit polocy (CERTIFICATE inspection and ACCEPT) with category address,Critical,n/a,NotRun,,,Leonardo Chen,Yes,FPX_VMWARE,,
/FortiProxy/7.2.0/Sanity/Policy-Matching/Explicit-L7/fastmatch/,10003,Verify HTTP/HTTPS Matching the explicit polocy (SSL-exempt and ACCEPT) with category address,Critical,n/a,NotRun,,,Leonardo Chen,Yes,FPX_VMWARE,,
/FortiProxy/7.2.0/Sanity/Policy-Matching/Explicit-L7/fastmatch/,10004,Verify HTTP/HTTPS Matching the explicit polocy (deep inspection and deny) with category address,Critical,n/a,NotRun,,,Leonardo Chen,Yes,FPX_VMWARE,,
/FortiProxy/7.2.0/Sanity/Policy-Matching/Explicit-L7/fastmatch/,10005,Verify HTTP/HTTPS Matching the explicit polocy (CERTIFICATE inspection and DENY) with category address,Critical,n/a,NotRun,,,Leonardo Chen,Yes,FPX_VMWARE,,
/FortiProxy/7.2.0/Sanity/Policy-Matching/Explicit-L7/fastmatch/,10006,Verify HTTP/HTTPS Matching the explicit polocy (SSL-EXEMPT and DENY) with category address,Critical,n/a,NotRun,,,Leonardo Chen,Yes,FPX_VMWARE,,
/FortiProxy/7.2.0/Sanity/Policy-Matching/Explicit-L7/fastmatch/,10007,Verify HTTP/HTTPS Matching the explicit polocy (deep inspection and ISOLATE) with category address,Critical,n/a,NotRun,,,Leonardo Chen,Yes,FPX_VMWARE,,
/FortiProxy/7.2.0/Sanity/Policy-Matching/Explicit-L7/fastmatch/,10008,Verify HTTP/HTTPS Matching the explicit polocy (CERT inspection and ISOLATE) with category address,Critical,n/a,NotRun,,,Leonardo Chen,Yes,FPX_VMWARE,,
/FortiProxy/7.2.0/Sanity/Policy-Matching/Explicit-L7/fastmatch/,10009,Verify HTTP/HTTPS Matching the explicit polocy (SSL EXEMPT and ISOLATE) with category address,Critical,n/a,NotRun,,,Leonardo Chen,Yes,FPX_VMWARE,,
/FortiProxy/7.2.0/Sanity/Policy-Matching/Explicit-L7/fastmatch/,10201,Verify HTTP/HTTPS Matching the explicit polocy (session-auth + deep inspection and accept) with category address,Critical,n/a,NotRun,,,Leonardo Chen,Yes,FPX_VMWARE,,
/FortiProxy/7.2.0/Sanity/Policy-Matching/Explicit-L7/fastmatch/,10202,Verify HTTP/HTTPS Matching the explicit polocy (session-auth + cert inspection and accept) with category address,Critical,n/a,NotRun,,,Leonardo Chen,Yes,FPX_VMWARE,,
/FortiProxy/7.2.0/Sanity/Policy-Matching/Explicit-L7/fastmatch/,10203,Verify HTTP/HTTPS Matching the explicit polocy (session-auth + ssl-exempt and accept) with category address,Critical,n/a,NotRun,,,Leonardo Chen,Yes,FPX_VMWARE,,
/FortiProxy/7.2.0/Sanity/Policy-Matching/Explicit-L7/fastmatch/,11000,Verify HTTP/HTTPS Matching the explicit polocy (deep inspection and accept) with dst and source address,Critical,n/a,NotRun,,,Leonardo Chen,Yes,FPX_VMWARE,,
,,,,,,,,,,,,
/FortiProxy/7.2.0/Sanity/Policy-Matching/Explicit-L7/non-fastmatch/,10001,Verify HTTP/HTTPS Matching the explicit polocy (deep inspection and accept) with category address,Critical,n/a,NotRun,,,Leonardo Chen,Yes,FPX_VMWARE,,
/FortiProxy/7.2.0/Sanity/Policy-Matching/Explicit-L7/non-fastmatch/,10002,Verify HTTP/HTTPS Matching the explicit polocy (CERTIFICATE inspection and ACCEPT) with category address,Critical,n/a,NotRun,,,Leonardo Chen,Yes,FPX_VMWARE,,
/FortiProxy/7.2.0/Sanity/Policy-Matching/Explicit-L7/non-fastmatch/,10003,Verify HTTP/HTTPS Matching the explicit polocy (SSL-exempt and ACCEPT) with category address,Critical,n/a,NotRun,,,Leonardo Chen,Yes,FPX_VMWARE,,
/FortiProxy/7.2.0/Sanity/Policy-Matching/Explicit-L7/non-fastmatch/,10004,Verify HTTP/HTTPS Matching the explicit polocy (deep inspection and deny) with category address,Critical,n/a,NotRun,,,Leonardo Chen,Yes,FPX_VMWARE,,
/FortiProxy/7.2.0/Sanity/Policy-Matching/Explicit-L7/non-fastmatch/,10005,Verify HTTP/HTTPS Matching the explicit polocy (CERTIFICATE inspection and DENY) with category address,Critical,n/a,NotRun,,,Leonardo Chen,Yes,FPX_VMWARE,,
/FortiProxy/7.2.0/Sanity/Policy-Matching/Explicit-L7/non-fastmatch/,10006,Verify HTTP/HTTPS Matching the explicit polocy (SSL-EXEMPT and DENY) with category address,Critical,n/a,NotRun,,,Leonardo Chen,Yes,FPX_VMWARE,,
