Path,QAID,Objective,Priority,Bug,Result,Build,Mark,Tester,Autotested,Platform,BIOS,Comment
/FortiProxy/1.0.7/Regression/Web-Proxy/02-Basic/,887966,Verify HTTP GET request is proxied,Critical,,Pass,66,,Leonardo Chen,No,FPX_VMWARE,10019,
/FortiProxy/1.0.7/Regression/Web-Proxy/02-Basic/,887967,Verify the HTTP Traffic could be forward correctly when physical incoming port  is same  physical outgoing port,High,,Pass,66,,Leonardo Chen,No,FPX_VMWARE,10019,
/FortiProxy/1.0.7/Regression/Web-Proxy/02-Basic/,887968,Verify HTTP GET request is still proxied successfully after modify some web-proxy configuration,Critical,,Pass,66,,Leonardo Chen,No,FPX_VMWARE,10019,
/FortiProxy/1.0.7/Regression/Web-Proxy/02-Basic/,887969,"Verify the command ""diag wad xx"" is still working",High,,Pass,66,,Leonardo Chen,No,FPX_VMWARE,10019,
/FortiProxy/1.0.7/Regression/Web-Proxy/02-Basic/,887971,Verify HTTPS GET request is proxied,Critical,,Pass,66,,Leonardo Chen,No,FPX_VMWARE,10019,
/FortiProxy/1.0.7/Regression/Web-Proxy/02-Basic/,887972,Verify HTTP POST request is proxied,Critical,,Pass,66,,Leonardo Chen,No,FPX_VMWARE,10019,
/FortiProxy/1.0.7/Regression/Web-Proxy/02-Basic/,887973,Verify HEAD/OPTIONS/PUT/TRACE request is forwarded,High,,Pass,66,,Leonardo Chen,No,FPX_VMWARE,10019,
/FortiProxy/1.0.7/Regression/Web-Proxy/02-Basic/,887977,Verify the  standard  Headers could be added if action is set add in WebProxy Profile,Critical,,Pass,66,,Leonardo Chen,No,FPX_VMWARE,10019,
/FortiProxy/1.0.7/Regression/Web-Proxy/02-Basic/,887981,Verify a customized  Headers could be add in WebProxy Profile,Critical,,Pass,66,,Leonardo Chen,No,FPX_VMWARE,10019,
/FortiProxy/1.0.7/Regression/Web-Proxy/02-Basic/,887985,Verify FTP is proxied,Critical,,Pass,66,,Leonardo Chen,No,FPX_VMWARE,10019,
/FortiProxy/1.0.7/Regression/Web-Proxy/02-Basic/,887986,Verify http client could access a ftp server with specific account throught ftp over http,Critical,,Pass,66,,Leonardo Chen,No,FPX_VMWARE,10019,
/FortiProxy/1.0.7/Regression/Web-Proxy/02-Basic/,887987,Verify basic SOCKS v4 proxy features works,High,,Pass,66,,Leonardo Chen,No,FPX_VMWARE,10019,
/FortiProxy/1.0.7/Regression/Web-Proxy/02-Basic/,887988,Verify basic SOCKS v5 proxy features works,Critical,,Pass,66,,Leonardo Chen,No,FPX_VMWARE,10019,
/FortiProxy/1.0.7/Regression/Web-Proxy/02-Basic/,887999,"Verify the ""sec-default-action accept"" works when no any web-proxy policy is configured",High,,Pass,66,,Leonardo Chen,No,FPX_VMWARE,10019,
/FortiProxy/1.0.7/Regression/Web-Proxy/02-Basic/,888000,Verify the different address type(FQDN/GeoIP/Subnet/IP Range) could be supported by the webproxy_policy,High,,Pass,66,,Leonardo Chen,No,FPX_VMWARE,10019,
/FortiProxy/1.0.7/Regression/Web-Proxy/03-Firewall/,888005,Verify FPX does not response to client if explicit-web-proxy option is not enabled on interface,High,,Pass,66,,Leonardo Chen,No,FPX_VMWARE,10019,
/FortiProxy/1.0.7/Regression/Web-Proxy/03-Firewall/,888006,Verify FPX returns 403 Forbidden if web-proxy firewall policy is not created,High,,Pass,66,,Leonardo Chen,No,FPX_VMWARE,10019,
/FortiProxy/1.0.7/Regression/Web-Proxy/03-Firewall/,888007,Verify FPX returns 504 Gateway Timeout if request Domain name cannot be resolved.,High,,Pass,66,,Leonardo Chen,No,FPX_VMWARE,10019,
/FortiProxy/1.0.7/Regression/Web-Proxy/03-Firewall/,888008,Verify FPX returns 504 Gateway Timeout if FPX can not communicate with the request server,High,,Pass,66,,Leonardo Chen,No,FPX_VMWARE,10019,
/FortiProxy/1.0.7/Regression/Web-Proxy/03-Firewall/,888009,Verify FPX returns 403 Forbidden if request source address does not match policy,High,,Pass,66,,Leonardo Chen,No,FPX_VMWARE,10019,
/FortiProxy/1.0.7/Regression/Web-Proxy/03-Firewall/,888010,Verify FPX returns 403 Forbidden if request destination address does not match policy,High,,Pass,66,,Leonardo Chen,No,FPX_VMWARE,10019,
/FortiProxy/1.0.7/Regression/Web-Proxy/03-Firewall/,888011,Verify WebProxy policy works with addess group.,Critical,,Pass,66,,Leonardo Chen,No,FPX_VMWARE,10019,
/FortiProxy/1.0.7/Regression/Web-Proxy/03-Firewall/,888012,"Verify WebProxy policy could match corresponding ""static router"" to forward http traffic",High,,Pass,66,,Leonardo Chen,No,FPX_VMWARE,10019,
/FortiProxy/1.0.7/Regression/Web-Proxy/03-Firewall/,888015,Verify WebProxy policy works with multi destination interfaces,High,,Pass,66,,Leonardo Chen,No,FPX_VMWARE,10019,
/FortiProxy/1.0.7/Regression/Web-Proxy/03-Firewall/,888020,Verify FPX returns 403 Forbidden if policy action is DENY,High,,Pass,66,,Leonardo Chen,No,FPX_VMWARE,10019,
/FortiProxy/1.0.7/Regression/Web-Proxy/03-Firewall/,888021,Verify FPX can restrict HTTP service based on protocol and port,High,,Pass,66,,Leonardo Chen,No,FPX_VMWARE,10019,
/FortiProxy/1.0.7/Regression/Web-Proxy/03-Firewall/,888022,Verify FPX can restrict FTP service based on protocol and port,High,,Pass,66,,Leonardo Chen,No,FPX_VMWARE,10019,
/FortiProxy/1.0.7/Regression/Web-Proxy/03-Firewall/,888028,"Verify the ""oversize-limit"" in ""protocol-option"" works well",High,,Pass,66,,Leonardo Chen,No,FPX_VMWARE,10019,
/FortiProxy/1.0.7/Regression/Web-Proxy/03-Firewall/,888480,"Verify HTTP traffic match the same policy based on specific address, interface, service when enable and disable fast-match feature",Critical,,Pass,66,,Leonardo Chen,No,FPX_VMWARE,10019,
/FortiProxy/1.0.7/Regression/Web-Proxy/03-Firewall/,888481,"Verify HTTP traffic match the same policy based on proxy-address, wildcard-fqdn address when enable and disable fast-match feature",High,,Pass,66,,Leonardo Chen,No,FPX_VMWARE,10019,
/FortiProxy/1.0.7/Regression/Web-Proxy/03-Firewall/,888479,"multiple web-proxy entities could be created and matched properly in explicit-web-proxy policy, based on incoming ip, port and interface",Critical,,Pass,66,,Leonardo Chen,No,FPX_VMWARE,10019,
/FortiProxy/1.0.7/Regression/Web-Proxy/03-Firewall/,888479,"multiple web-proxy entities could be created and matched properly in explicit-web-proxy policy, based on incoming ip, port and interface",Critical,,Pass,66,,Leonardo Chen,No,FPX_VMWARE,10019,
/FortiProxy/1.0.7/Regression/Web-Proxy/04-Auth/01 Basic_auth/,888035,Verify Basic Auth Method works via session based identity based firewall policy while using firewall local usergroup,Critical,,Pass,66,,Leonardo Chen,No,FPX_VMWARE,10019,
/FortiProxy/1.0.7/Regression/Web-Proxy/04-Auth/01 Basic_auth/,888037,Verify Basic Auth Method works  via session based identity based firewall policy while using LDAP authentication service,Critical,,Pass,66,,Leonardo Chen,No,FPX_VMWARE,10019,
/FortiProxy/1.0.7/Regression/Web-Proxy/04-Auth/01 Basic_auth/,888039,"Verify Basic Auth Method works for Both of ""Local User"" and ""Group"" in IBP",High,,Pass,66,,Leonardo Chen,No,FPX_VMWARE,10019,
/FortiProxy/1.0.7/Regression/Web-Proxy/04-Auth/01 Basic_auth/,888040,Verify Basic Auth Method works via IP based identity based firewall policy while using firewall local usergroup,Critical,,Pass,66,,Leonardo Chen,No,FPX_VMWARE,10019,
/FortiProxy/1.0.7/Regression/Web-Proxy/04-Auth/01 Basic_auth/,888042,Verify Basic Auth Method worksvia IP based identity based firewall policy while using LDAP authentication service,High,,Pass,66,,Leonardo Chen,No,FPX_VMWARE,10019,
/FortiProxy/1.0.7/Regression/Web-Proxy/04-Auth/03 Digest_auth/,888051,Verify Digest Auth Method works for IE and Firefox via session based identity based firewall policy while using firewall local usergroup,Critical,,Pass,66,,Leonardo Chen,No,FPX_VMWARE,10019,
/FortiProxy/1.0.7/Regression/Web-Proxy/04-Auth/03 Digest_auth/,888052,Verify Digest Auth Method works for IE and Firefox via IP based identity based firewall policy while using firewall local usergroup,High,,Pass,66,,Leonardo Chen,No,FPX_VMWARE,10019,
/FortiProxy/1.0.7/Regression/Web-Proxy/04-Auth/05 Negotiate/,888059,Verify Kerberos Method works with ip-based identity based firewall policy,High,,Pass,66,,Leonardo Chen,No,FPX_VMWARE,10019,
/FortiProxy/1.0.7/Regression/Web-Proxy/04-Auth/05 Negotiate/,888060,Verify Kerberos Method works with AV in identity based firewall policy,High,,Pass,66,,Leonardo Chen,No,FPX_VMWARE,10019,
/FortiProxy/1.0.7/Regression/Web-Proxy/04-Auth/05 Negotiate/,888063,Verify NTLM Method works with identity based firewall policy when choose negotiate and FSSO-group,High,,Pass,66,,Leonardo Chen,No,FPX_VMWARE,10019,
/FortiProxy/1.0.7/Regression/Web-Proxy/04-Auth/11 Other/,888085,Verify informer process could restore ip-based authenticated user info after worker crash,High,,Pass,66,,Leonardo Chen,No,FPX_VMWARE,10019,
